"file","line","text","snippet"
"client/src/components/analytics/CommunityTab.tsx","50","Agent error","toast.error(error instanceof Error ? error.message : 'Agent error');"
"client/src/components/analytics/CommunityTab.tsx","68","Failed to score lead","toast.error(error instanceof Error ? error.message : 'Failed to score lead');"
"client/src/components/layout/Header.tsx","44","Ouvrir Copilot","title=""Ouvrir Copilot"""
"client/src/components/layout/Sidebar.tsx","229","Activer le mode Expert","aria-label={isSimple ? 'Activer le mode Expert' : 'Activer le mode Simple'}"
"client/src/components/layout/Sidebar.tsx","229","Activer le mode Simple","aria-label={isSimple ? 'Activer le mode Expert' : 'Activer le mode Simple'}"
"client/src/components/marketing/MarketingHeader.tsx","198","Toggle menu","aria-label=""Toggle menu"""
"client/src/components/outreach/CampaignList.tsx","86","Mettre en pause","title={campaign.status === 'active' ? 'Mettre en pause' : 'Reprendre'}"
"client/src/components/outreach/OSINTScanner.tsx","149","Unknown Company","const company = profile.experiences?.[0]?.company || profile.headline || 'Unknown Company';"
"client/src/components/outreach/OSINTScanner.tsx","173","Unknown Company","const company = profile.experiences?.[0]?.company || profile.headline || 'Unknown Company';"
"client/src/components/outreach/OSINTScanner.tsx","199","Unknown Company","const company = profile.experiences?.[0]?.company || profile.headline || 'Unknown Company';"
"client/src/components/outreach/OSINTScanner.tsx","449","Investigation Complet","{generatingDossiers.has(suspect.url) ? 'Génération du dossier...' : '🕵️‍♂️ Générer un Dossier d\'Investigation Complet'}"
"client/src/components/outreach/OutreachAnalytics.tsx","44","Failed to fetch outreach analytics","console.error('Failed to fetch outreach analytics'; error);"
"client/src/components/outreach/OutreachAnalytics.tsx","62","Campagnes Actives","{ label: 'Campagnes Actives'; value: data.totalCampaigns; icon: Target; color: 'text-brand-500'; bg: 'bg-brand-500/10' };"
"client/src/components/outreach/ProfileScanner.tsx","81","Lancer le Scan","{isScanning ? 'Analyse...' : 'Lancer le Scan'}"
"client/src/components/post/PostPreview.tsx","116","Your Name","userName={user?.name || 'Your Name'}"
"client/src/components/post/PostPreview.tsx","173","Voix-off du post","<AudioPlayer audioUrl={audioUrl} title=""Voix-off du post"" />"
"client/src/components/post/SocialMockup.tsx","26","John Doe","userName = 'John Doe';"
"client/src/components/settings/WorkspaceManager.tsx","37","Failed to fetch members","if (!res.ok) throw new Error('Failed to fetch members');"
"client/src/components/settings/WorkspaceManager.tsx","53","Failed to invite member","throw new Error(error.error || 'Failed to invite member');"
"client/src/components/settings/WorkspaceManager.tsx","58","Member invited successfully","toast.success('Member invited successfully');"
"client/src/components/settings/WorkspaceManager.tsx","74","Failed to remove member","throw new Error(error.error || 'Failed to remove member');"
"client/src/components/settings/WorkspaceManager.tsx","79","Member removed successfully","toast.success('Member removed successfully');"
"client/src/components/settings/WorkspaceManager.tsx","125","Email Address","label=""Email Address"""
"client/src/components/settings/WorkspaceManager.tsx","164","Unknown User","{member.name || 'Unknown User'}"
"client/src/components/ui/CommandPalette.tsx","77","Tableau de bord","name: 'Tableau de bord';"
"client/src/components/ui/CommandPalette.tsx","105","Campagnes Outreach","name: 'Campagnes Outreach';"
"client/src/components/ui/CommandPalette.tsx","115","Planning de publication","description: ""Planning de publication"";"
"client/src/components/ui/CommandPalette.tsx","133","Performances et engagement","description: ""Performances et engagement"";"
"client/src/components/ui/CopilotSidebar.tsx","105","Nouvelle conversation","title=""Nouvelle conversation"""
"client/src/components/ui/Drawer.tsx","70","Close drawer","aria-label=""Close drawer"""
"client/src/components/ui/ErrorBoundary.tsx","73","Something went wrong",": 'Something went wrong'}"
"client/src/components/ui/LiveTerminal.tsx","11","Agent Terminal","export function LiveTerminal({ logs; isConnected; title = 'Agent Terminal' }: LiveTerminalProps) {"
"client/src/components/ui/MessageTemplateModal.tsx","24","Relance amicale","name: 'Relance amicale';"
"client/src/components/ui/MessageTemplateModal.tsx","29","Remerciement commentaire","name: 'Remerciement commentaire';"
"client/src/components/ui/Modal.tsx","59","Close modal","aria-label=""Close modal"""
"client/src/contexts/WorkspaceContext.tsx","41","Failed to fetch workspaces","console.error('Failed to fetch workspaces'; error);"
"client/src/hooks/useAuth.tsx","75","Login failed","throw new Error(data.error || 'Login failed');"
"client/src/hooks/useAuth.tsx","95","Registration failed","throw new Error(data.error || 'Registration failed');"
"client/src/pages/ABTestPage.tsx","287","Share the benefits of remote work for productivity","'e.g.; ""Share the benefits of remote work for productivity""';"
"client/src/pages/AnalyticsPage.tsx","41","Articles Autoblog","title: 'Articles Autoblog';"
"client/src/pages/AnalyticsPage.tsx","81","Culture Produit","{ name: 'Culture Produit'; score: 82; posts: 32; trend: '+2%' };"
"client/src/pages/AnalyticsPage.tsx","82","Conseils Startup","{ name: 'Conseils Startup'; score: 76; posts: 28; trend: '-1%' };"
"client/src/pages/AutoBlogPage.tsx","36","Patrice Huetz","authorName: 'Patrice Huetz';"
