"locale","kind","key"
"ar","missing","translation.nav.toggleMenu"
"ar","missing","translation.nav.tools"
"ar","missing","translation.nav.viral"
"ar","missing","translation.nav.hooks"
"ar","missing","translation.nav.carousel"
"ar","missing","translation.nav.templates"
"ar","missing","translation.nav.repurpose"
"ar","missing","translation.nav.hashtags"
"ar","missing","translation.nav.styles"
"ar","missing","translation.nav.images"
"ar","missing","translation.nav.outreach"
"ar","missing","translation.nav.hub"
"ar","missing","translation.nav.wizardPost"
"ar","missing","translation.nav.wizardAutoblog"
"ar","missing","translation.nav.wizardOutreach"
"ar","missing","translation.nav.wizardAnalytics"
"ar","missing","translation.nav.advanced"
"ar","missing","translation.nav.inbox"
"ar","missing","translation.nav.approvals"
"ar","missing","translation.nav.abTest"
"ar","missing","translation.nav.engagement"
"ar","missing","translation.nav.trending"
"ar","missing","translation.nav.pillars"
"ar","missing","translation.nav.simulator"
"ar","missing","translation.nav.billing"
"ar","missing","translation.nav.strategy"
"ar","missing","translation.nav.modeSimple"
"ar","missing","translation.nav.modeExpert"
"ar","missing","translation.hub.tag"
"ar","missing","translation.hub.title"
"ar","missing","translation.hub.subtitle"
"ar","missing","translation.wizard.savedDraft"
"ar","missing","translation.dashboard.platforms"
"ar","missing","translation.dashboard.manageConnections"
"ar","missing","translation.dashboard.viewAll"
"ar","missing","translation.dashboard.quickTools"
"ar","missing","translation.dashboard.popularTemplates"
"ar","missing","translation.dashboard.recentActivity"
"ar","missing","translation.dashboard.noActivity"
"ar","missing","translation.dashboard.activityPublished"
"ar","missing","translation.dashboard.activityScheduled"
"ar","missing","translation.dashboard.activityDrafted"
"ar","missing","translation.dashboard.tools.viral"
"ar","missing","translation.dashboard.tools.viralDesc"
"ar","missing","translation.dashboard.tools.hooks"
"ar","missing","translation.dashboard.tools.hooksDesc"
"ar","missing","translation.dashboard.tools.carousel"
"ar","missing","translation.dashboard.tools.carouselDesc"
"ar","missing","translation.dashboard.tools.templates"
"ar","missing","translation.dashboard.tools.templatesDesc"
"ar","missing","translation.dashboard.tools.repurpose"
"ar","missing","translation.dashboard.tools.repurposeDesc"
"ar","missing","translation.dashboard.tools.hashtags"
"ar","missing","translation.dashboard.tools.hashtagsDesc"
"ar","missing","translation.generate.button"
"ar","missing","translation.generate.llm"
"ar","missing","translation.generate.selectProvider"
"ar","missing","translation.generate.selectModel"
"ar","missing","translation.generate.streaming"
"ar","missing","translation.generate.previewPlaceholder"
"ar","missing","translation.generate.promptRequired"
"ar","missing","translation.generate.platformRequired"
"ar","missing","translation.generate.saveDraft"
"ar","missing","translation.generate.saved"
"ar","missing","translation.generate.reset"
"ar","missing","translation.generate.hashtags"
"ar","missing","translation.history.deleteMessage"
"ar","missing","translation.history.deleted"
"ar","missing","translation.history.published"
"ar","missing","translation.history.noPosts"
"ar","missing","translation.history.showing"
"ar","missing","translation.history.of"
"ar","missing","translation.history.draft"
"ar","missing","translation.history.scheduled"
"ar","missing","translation.history.failed"
"ar","missing","translation.calendar.noPosts"
"ar","missing","translation.calendar.moving"
"ar","missing","translation.calendar.moved"
"ar","missing","translation.calendar.weekDays.mon"
"ar","missing","translation.calendar.weekDays.tue"
"ar","missing","translation.calendar.weekDays.wed"
"ar","missing","translation.calendar.weekDays.thu"
"ar","missing","translation.calendar.weekDays.fri"
"ar","missing","translation.calendar.weekDays.sat"
"ar","missing","translation.calendar.weekDays.sun"
"ar","missing","translation.billing.title"
"ar","missing","translation.billing.subtitle"
"ar","missing","translation.billing.refresh"
"ar","missing","translation.billing.paymentSuccess"
"ar","missing","translation.billing.loadError"
"ar","missing","translation.billing.checkoutError"
"ar","missing","translation.billing.portalError"
"ar","missing","translation.billing.cancelSuccess"
"ar","missing","translation.billing.cancelError"
"ar","missing","translation.billing.resumeSuccess"
"ar","missing","translation.billing.resumeError"
"ar","missing","translation.billing.freePlan"
"ar","missing","translation.billing.postsThisMonth"
"ar","missing","translation.billing.unlimited"
"ar","missing","translation.billing.aiProvider"
"ar","missing","translation.billing.aiProvider_plural"
"ar","missing","translation.billing.platform"
"ar","missing","translation.billing.platform_plural"
"ar","missing","translation.billing.billingInterval"
"ar","missing","translation.billing.nextBillingDate"
"ar","missing","translation.billing.cancelNotice"
"ar","missing","translation.billing.quickActions"
"ar","missing","translation.billing.upgradePro"
"ar","missing","translation.billing.proDesc"
"ar","missing","translation.billing.proYearly"
"ar","missing","translation.billing.proYearlyDesc"
"ar","missing","translation.billing.upgradeBusiness"
"ar","missing","translation.billing.businessDesc"
"ar","missing","translation.billing.businessYearly"
"ar","missing","translation.billing.businessYearlyDesc"
"ar","missing","translation.billing.manageSubscription"
"ar","missing","translation.billing.manageSubscriptionDesc"
"ar","missing","translation.billing.resumeSubscription"
