file,method,route,mutating,hasValidate,hasAuth
admin.routes.ts,GET,/deleted-accounts,false,true,false
agent.routes.ts,POST,/simulate-comment,true,true,true
agent.routes.ts,POST,/scrape-lead,true,true,true
agent.routes.ts,POST,/ghostwrite-comment,true,true,true
agent.routes.ts,POST,/shadow-profile,true,true,true
agent.routes.ts,POST,/emergency-stop,true,true,true
analytics.routes.ts,GET,/overview,false,false,false
analytics.routes.ts,GET,/best-times,false,false,false
analytics.routes.ts,GET,/comments,false,false,false
analytics.routes.ts,POST,/comments/:id/reply,true,true,false
analytics.routes.ts,POST,/comments/:id/score,true,true,false
analytics.routes.ts,POST,/comments/:id/agent-step,true,true,false
analytics.routes.ts,POST,/trigger-evergreen,true,true,false
analyze.routes.ts,POST,/engagement,true,true,false
analyze.routes.ts,POST,/simulate,true,true,false
assist.routes.ts,POST,/field,true,true,false
auth.routes.ts,POST,/register,true,true,false
auth.routes.ts,POST,/login,true,true,false
auth.routes.ts,POST,/dev-login,true,true,false
auth.routes.ts,POST,/logout,true,true,false
auth.routes.ts,POST,/forgot-password,true,true,false
auth.routes.ts,POST,/reset-password,true,true,false
auth.routes.ts,GET,/me,false,false,true
auth.routes.ts,GET,/export,false,false,true
auth.routes.ts,DELETE,/account,true,true,true
autoblog.routes.ts,GET,/,false,false,false
autoblog.routes.ts,POST,/,true,true,false
autoblog.routes.ts,PUT,/:id,true,true,false
autoblog.routes.ts,DELETE,/:id,true,true,false
codex-auth.routes.ts,POST,/start,true,true,false
codex-auth.routes.ts,GET,/status,false,false,false
codex-auth.routes.ts,POST,/logout,true,true,false
generate.routes.ts,POST,/,true,true,false
generate.routes.ts,POST,/stream,true,true,false
generate.routes.ts,POST,/hooks,true,true,false
generate.routes.ts,POST,/carousel,true,true,false
generate.routes.ts,POST,/repurpose,true,true,false
generate.routes.ts,POST,/hashtags,true,true,false
generate.routes.ts,POST,/ab-test,true,true,false
generate.routes.ts,POST,/video-script,true,true,false
generate.routes.ts,POST,/blog-article,true,true,false
images.routes.ts,GET,/file/:filename,false,false,false
images.routes.ts,POST,/generate,true,true,false
images.routes.ts,GET,/,false,true,false
images.routes.ts,PATCH,/:id,true,true,false
inbox.routes.ts,GET,/,false,false,false
inbox.routes.ts,PATCH,/:id/resolve,true,true,false
inbox.routes.ts,POST,/:id/reply,true,true,false
outreach.routes.ts,GET,/campaigns,false,false,false
outreach.routes.ts,POST,/campaigns,true,false,false
outreach.routes.ts,PUT,/campaigns/:id,true,false,false
outreach.routes.ts,DELETE,/campaigns/:id,true,true,false
outreach.routes.ts,GET,/campaigns/:id/prospects,false,false,false
outreach.routes.ts,POST,/prospects/:id/simulate-reply,true,true,false
outreach.routes.ts,POST,/osint-scan,true,true,false
outreach.routes.ts,POST,/enrich-profile,true,true,false
outreach.routes.ts,POST,/deep-dossier,true,true,false
outreach.routes.ts,POST,/generate-icebreaker,true,true,false
outreach.routes.ts,POST,/find-contact,true,true,false
outreach.routes.ts,POST,/add-from-osint,true,true,false
pillars.routes.ts,GET,/strategy,false,false,false
pillars.routes.ts,GET,/,false,false,false
pillars.routes.ts,POST,/,true,true,false
pillars.routes.ts,PUT,/:id,true,true,false
pillars.routes.ts,DELETE,/:id,true,true,false
pillars.routes.ts,GET,/:id/ideas,false,false,false
pillars.routes.ts,POST,/:id/ideas,true,true,false
pillars.routes.ts,POST,/:id/generate-ideas,true,true,false
pillars.routes.ts,PUT,/ideas/:ideaId,true,true,false
pillars.routes.ts,DELETE,/ideas/:ideaId,true,true,false
platforms.routes.ts,GET,/,false,false,false
platforms.routes.ts,GET,/:platform/auth,false,false,false
platforms.routes.ts,GET,/:platform/callback,false,false,false
platforms.routes.ts,DELETE,/:platform/disconnect,true,true,false
posts.routes.ts,GET,/,false,true,false
posts.routes.ts,GET,/:id,false,false,false
posts.routes.ts,POST,/,true,true,false
posts.routes.ts,PUT,/:id,true,true,false
posts.routes.ts,DELETE,/:id,true,true,false
posts.routes.ts,POST,/:id/publish,true,true,false
posts.routes.ts,POST,/:id/schedule,true,true,false
posts.routes.ts,GET,/:id/comments,false,false,false
posts.routes.ts,POST,/:id/comments,true,true,false
posts.routes.ts,PATCH,/:id/status,true,true,false
posts.routes.ts,POST,/:id/approve,true,true,false
posts.routes.ts,POST,/:id/reject,true,true,false
posts.routes.ts,POST,/repurpose-url,true,true,false
settings.routes.ts,GET,/,false,false,false
settings.routes.ts,PUT,/,true,true,false
stripe.routes.ts,GET,/plans,false,false,false
stripe.routes.ts,POST,/create-checkout,true,true,false
stripe.routes.ts,POST,/create-portal,true,true,false
stripe.routes.ts,GET,/subscription,false,false,false
stripe.routes.ts,POST,/cancel,true,true,false
stripe.routes.ts,POST,/resume,true,true,false
stripe.routes.ts,GET,/invoices,false,false,false
styles.routes.ts,GET,/,false,false,false
styles.routes.ts,POST,/,true,true,false
styles.routes.ts,GET,/:id,false,false,false
styles.routes.ts,DELETE,/:id,true,true,false
styles.routes.ts,POST,/:id/generate,true,true,false
templates.routes.ts,GET,/,false,true,false
templates.routes.ts,GET,/:id,false,false,false
templates.routes.ts,POST,/:id/generate,true,true,false
trending.routes.ts,POST,/,true,true,false
viral.routes.ts,GET,/,false,true,false
viral.routes.ts,GET,/categories,false,false,false
viral.routes.ts,GET,/search,false,true,false
workspaces.routes.ts,GET,/,false,false,false
workspaces.routes.ts,GET,/:id/members,false,false,false
workspaces.routes.ts,POST,/:id/invite,true,true,false
workspaces.routes.ts,DELETE,/:id/members/:userId,true,true,false
